each word,porter of each word,lancaster of each word,each len of word after porter,each len of word after lancaster,porter_data_without_stop_words,lancaster_data_without_stop_words
enterprise,enterpris,enterpr,9,7,enterpris,enterpr
metadata,metadata,metadat,8,7,metadata,metadat
In,in,in,2,2,-,-
statistical,statist,stat,7,4,statist,stat
analyses,analys,analys,6,6,analys,analys
where,where,wher,5,4,-,wher
there,there,ther,5,4,-,ther
is,is,is,2,2,-,-
no,no,no,2,2,-,-
underlying,underli,und,7,3,underli,und
theoretical,theoret,theoret,7,7,theoret,theoret
model,model,model,5,5,model,model
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
is,is,is,2,2,-,-
often,often,oft,5,3,often,oft
approximated,approxim,approxim,8,8,approxim,approxim
via,via,via,3,3,via,via
stepwise,stepwis,stepw,7,5,stepwis,stepw
regression,regress,regress,7,7,regress,regress
methods,method,method,6,6,method,method
wherein,wherein,wherein,7,7,wherein,wherein
the,the,the,3,3,-,-
space,space,spac,5,4,space,spac
of,of,of,2,2,-,-
2k,2k,2k,2,2,2k,2k
possible,possibl,poss,7,4,possibl,poss
relationships,relationship,rel,12,3,relationship,rel
between,between,between,7,7,-,-
a,a,a,1,1,-,-
single,singl,singl,5,5,singl,singl
outcome,outcom,outcom,6,6,outcom,outcom
variable,variabl,vary,7,4,variabl,vary
and,and,and,3,3,-,-
k,k,k,1,1,k,k
potential,potenti,pot,7,3,potenti,pot
explanatory,explanatori,expl,11,4,explanatori,expl
variables,variabl,vary,7,4,variabl,vary
is,is,is,2,2,-,-
smartly,smartli,smart,7,5,smartli,smart
searched,search,search,6,6,search,search
With,with,with,4,4,-,-
the,the,the,3,3,-,-
advent,advent,adv,6,3,advent,adv
of,of,of,2,2,-,-
parallel,parallel,parallel,8,8,parallel,parallel
computing,comput,comput,6,6,comput,comput
it,it,it,2,2,-,-
became,becam,becam,5,5,becam,becam
possible,possibl,poss,7,4,possibl,poss
when,when,when,4,4,-,-
k,k,k,1,1,k,k
is,is,is,2,2,-,-
less,less,less,4,4,less,less
than,than,than,4,4,-,-
approximately,approxim,approxim,8,8,approxim,approxim
40,40,40,2,2,40,40
to,to,to,2,2,-,-
examine,examin,examin,6,6,examin,examin
all,all,al,3,2,-,al
2k,2k,2k,2,2,2k,2k
models,model,model,5,5,model,model
This,thi,thi,3,3,thi,thi
procedure,procedur,proc,8,4,procedur,proc
is,is,is,2,2,-,-
called,call,cal,4,3,call,cal
all,all,al,3,2,-,al
subsets,subset,subset,6,6,subset,subset
or,or,or,2,2,-,-
exhaustive,exhaust,exhaust,7,7,exhaust,exhaust
regression,regress,regress,7,7,regress,regress
Some,some,som,4,3,-,som
of,of,of,2,2,-,-
the,the,the,3,3,-,-
first,first,first,5,5,first,first
applications,applic,apply,6,5,applic,apply
of,of,of,2,2,-,-
exhaustive,exhaust,exhaust,7,7,exhaust,exhaust
regression,regress,regress,7,7,regress,regress
involved,involv,involv,6,6,involv,involv
the,the,the,3,3,-,-
study,studi,study,5,5,studi,study
of,of,of,2,2,-,-
plant,plant,plant,5,5,plant,plant
data,data,dat,4,3,data,dat
L^exploration,l^explor,l^exploration,8,13,l^explor,l^exploration
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
aussi,aussi,auss,5,4,aussi,auss
connue,connu,connu,5,5,connu,connu
sous,sou,sou,3,3,sou,sou
les,le,les,2,3,le,les
noms,nom,nom,3,3,nom,nom
fouille,fouill,fouil,6,5,fouill,fouil
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
forage,forag,for,5,3,forag,-
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
ou,ou,ou,2,2,ou,ou
encore,encor,ent,5,3,encor,ent
Extraction,extract,extract,7,7,extract,extract
de,de,de,2,2,de,de
Connaissances,connaiss,connaiss,8,8,connaiss,connaiss
ECD,ecd,ecd,3,3,ecd,ecd
en,en,en,2,2,en,en
français,françai,frança,7,6,françai,frança
KDD,kdd,kdd,3,3,kdd,kdd
en,en,en,2,2,en,en
Anglais,anglai,angla,6,5,anglai,angla
a,a,a,1,1,-,-
pour,pour,pour,4,4,pour,pour
objet,objet,objet,5,5,objet,objet
l^extraction,l^extract,l^extraction,9,12,l^extract,l^extraction
d^un,d^un,d^un,4,4,d^un,d^un
savoir,savoir,savoir,6,6,savoir,savoir
ou,ou,ou,2,2,ou,ou
d^une,d^une,d^une,5,5,d^une,d^une
connaissance,connaiss,connaiss,8,8,connaiss,connaiss
à,à,à,1,1,à,à
partir,partir,partir,6,6,partir,partir
de,de,de,2,2,de,de
grandes,grand,grand,5,5,grand,grand
quantités,quantité,quantité,8,8,quantité,quantité
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
par,par,par,3,3,par,par
des,de,des,2,3,de,des
méthodes,méthode,méthodes,7,8,méthode,méthodes
automatiques,automatiqu,automat,10,7,automatiqu,automat
ou,ou,ou,2,2,ou,ou
semi-automatiques,semi-automatiqu,semi-automatiques,15,17,semi-automatiqu,semi-automatiques
et,et,et,2,2,et,et
l^utilisation,l^utilis,l^utilisation,8,13,l^utilis,l^utilisation
industrielle,industriel,industriel,10,10,industriel,industriel
ou,ou,ou,2,2,ou,ou
opérationnelle,opérationnel,opérationnel,12,12,opérationnel,opérationnel
de,de,de,2,2,de,de
ce,ce,ce,2,2,ce,ce
savoir,savoir,savoir,6,6,savoir,savoir
Elle,ell,el,3,2,ell,el
est,est,est,3,3,est,est
utilisée,utilisé,utilisé,7,7,utilisé,utilisé
dans,dan,dan,3,3,dan,dan
le,le,le,2,2,le,le
monde,mond,mond,4,4,mond,mond
professionnel,professionnel,professionnel,13,13,professionnel,professionnel
pour,pour,pour,4,4,pour,pour
résoudre,résoudr,résoudre,7,8,résoudr,résoudre
des,de,des,2,3,de,des
problématiques,problématiqu,problémat,12,9,problématiqu,problémat
très,trè,très,3,4,trè,très
diverses,divers,divers,6,6,divers,divers
allant,allant,al,6,2,allant,al
de,de,de,2,2,de,de
la,la,la,2,2,la,la
gestion,gestion,gest,7,4,gestion,gest
de,de,de,2,2,de,de
relation,relat,rel,5,3,relat,rel
client,client,cli,6,3,client,cli
à,à,à,1,1,à,à
de,de,de,2,2,de,de
la,la,la,2,2,la,la
maintenance,mainten,maint,7,5,mainten,maint
préventive,préventiv,préventive,9,10,préventiv,préventive
en,en,en,2,2,en,en
passant,passant,pass,7,4,passant,pass
par,par,par,3,3,par,par
de,de,de,2,2,de,de
la,la,la,2,2,la,la
détection,détection,détection,9,9,détection,détection
de,de,de,2,2,de,de
fraudes,fraud,fraud,5,5,fraud,fraud
ou,ou,ou,2,2,ou,ou
encore,encor,ent,5,3,encor,ent
de,de,de,2,2,de,de
l^optimisation,l^optimis,l^optimisation,9,14,l^optimis,l^optimisation
de,de,de,2,2,de,de
sites,site,sit,4,3,site,sit
web,web,web,3,3,web,web
Le,le,le,2,2,le,le
Data,data,dat,4,3,data,dat
Mining,mine,min,4,3,mine,min
est,est,est,3,3,est,est
un,un,un,2,2,un,un
processus,processu,process,8,7,processu,process
d^extraction,d^extract,d^extraction,9,12,d^extract,d^extraction
de,de,de,2,2,de,de
connaissances,connaiss,connaiss,8,8,connaiss,connaiss
valides,valid,valid,5,5,valid,valid
et,et,et,2,2,et,et
exploitables,exploit,exploit,7,7,exploit,exploit
à,à,à,1,1,à,à
partir,partir,partir,6,6,partir,partir
de,de,de,2,2,de,de
grands,grand,grand,5,5,grand,grand
volumes,volum,volum,5,5,volum,volum
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
Il,il,il,2,2,il,il
a,a,a,1,1,-,-
vocation,vocat,voc,5,3,vocat,voc
à,à,à,1,1,à,à
être,être,être,4,4,être,être
utilisé,utilisé,utilisé,7,7,utilisé,utilisé
dans,dan,dan,3,3,dan,dan
un,un,un,2,2,un,un
environnement,environn,environ,8,7,environn,environ
professionnel,professionnel,professionnel,13,13,professionnel,professionnel
et,et,et,2,2,et,et
se,se,se,2,2,se,se
distingue,distingu,distingu,8,8,distingu,distingu
de,de,de,2,2,de,de
l^analyse,l^analys,l^analyse,8,9,l^analys,l^analyse
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
et,et,et,2,2,et,et
de,de,de,2,2,de,de
la,la,la,2,2,la,la
statistique,statistiqu,statist,10,7,statistiqu,statist
par,par,par,3,3,par,par
les,le,les,2,3,le,les
points,point,point,5,5,point,point
suivants,suivant,suiv,7,4,suivant,suiv
les,le,les,2,3,le,les
techniques,techniqu,techn,8,5,techniqu,techn
utilisées,utilisé,utilisé,7,7,utilisé,utilisé
vont,vont,vont,4,4,vont,vont
au-delà,au-delà,au-delà,7,7,au-delà,au-delà
des,de,des,2,3,de,des
techniques,techniqu,techn,8,5,techniqu,techn
classiquement,classiqu,class,8,5,classiqu,class
utilisées,utilisé,utilisé,7,7,utilisé,utilisé
en,en,en,2,2,en,en
statistiques,statistiqu,statist,10,7,statistiqu,statist
:,:,:,1,1,:,:
le,le,le,2,2,le,le
Data,data,dat,4,3,data,dat
Mining,mine,min,4,3,mine,min
se,se,se,2,2,se,se
situe,situ,situ,4,4,situ,situ
à,à,à,1,1,à,à
la,la,la,2,2,la,la
croisée,croisé,croisé,6,6,croisé,croisé
des,de,des,2,3,de,des
statistiques,statistiqu,statist,10,7,statistiqu,statist
de,de,de,2,2,de,de
l^intelligence,l^intellig,l^intelligence,10,14,l^intellig,l^intelligence
artificielle,artificiel,artificiel,10,10,artificiel,artificiel
des,de,des,2,3,de,des
bases,base,bas,4,3,base,bas
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
les,le,les,2,3,le,les
connaissances,connaiss,connaiss,8,8,connaiss,connaiss
extraites,extrait,extrait,7,7,extrait,extrait
par,par,par,3,3,par,par
le,le,le,2,2,le,le
Data,data,dat,4,3,data,dat
Mining,mine,min,4,3,mine,min
ont,ont,ont,3,3,ont,ont
vocation,vocat,voc,5,3,vocat,voc
à,à,à,1,1,à,à
être,être,être,4,4,être,être
intégrées,intégré,intégré,7,7,intégré,intégré
dans,dan,dan,3,3,dan,dan
le,le,le,2,2,le,le
schéma,schéma,schéma,6,6,schéma,schéma
organisationnel,organisationnel,organisationnel,15,15,organisationnel,organisationnel
de,de,de,2,2,de,de
l^entreprise,l^entrepris,l^entreprise,11,12,l^entrepris,l^entreprise
ou,ou,ou,2,2,ou,ou
de,de,de,2,2,de,de
l^entité,l^entité,l^entité,8,8,l^entité,l^entité
considérée,considéré,considéré,9,9,considéré,considéré
Le,le,le,2,2,le,le
Data,data,dat,4,3,data,dat
Mining,mine,min,4,3,mine,min
impose,impos,impos,5,5,impos,impos
donc,donc,dont,4,4,donc,dont
d^être,d^être,d^être,6,6,d^être,d^être
capable,capabl,cap,6,3,capabl,cap
d^utiliser,d^utilis,d^utiliser,8,10,d^utilis,d^utiliser
de,de,de,2,2,de,de
manière,manièr,manièr,6,6,manièr,manièr
opérationnelle,opérationnel,opérationnel,12,12,opérationnel,opérationnel
les,le,les,2,3,le,les
résultats,résultat,résultats,8,9,résultat,résultats
des,de,des,2,3,de,des
analyses,analys,analys,6,6,analys,analys
effectuées,effectué,effectué,8,8,effectué,effectué
souvent,souvent,souv,7,4,souvent,souv
dans,dan,dan,3,3,dan,dan
des,de,des,2,3,de,des
délais,délai,délais,5,6,délai,délais
très,trè,très,3,4,trè,très
courts,court,court,5,5,court,court
Le,le,le,2,2,le,le
processus,processu,process,8,7,processu,process
d^analyse,d^analys,d^analyse,8,9,d^analys,d^analyse
doit,doit,doit,4,4,doit,doit
permettre,permettr,permet,8,6,permettr,permet
à,à,à,1,1,à,à
l^organisation,l^organis,l^organisation,9,14,l^organis,l^organisation
une,une,un,3,2,une,un
réactivité,réactivité,réactivité,10,10,réactivité,réactivité
très,trè,très,3,4,trè,très
importante,important,import,9,6,important,import
les,le,les,2,3,le,les
données,donné,donné,5,5,donné,donné
traitées,traité,traité,6,6,traité,traité
sont,sont,sont,4,4,sont,sont
issues,issu,issu,4,4,issu,issu
des,de,des,2,3,de,des
systèmes,systèm,systèm,6,6,systèm,systèm
de,de,de,2,2,de,de
stokage,stokag,stok,6,4,stokag,stok
en,en,en,2,2,en,en
place,place,plac,5,4,place,plac
dans,dan,dan,3,3,dan,dan
l^organisation,l^organis,l^organisation,9,14,l^organis,l^organisation
et,et,et,2,2,et,et
sont,sont,sont,4,4,sont,sont
ainsi,ainsi,ains,5,4,ainsi,ains
hétérogènes,hétérogèn,hétérogènes,9,11,hétérogèn,hétérogènes
multiples,multipl,multipl,7,7,multipl,multipl
plus,plu,plu,3,3,plu,plu
ou,ou,ou,2,2,ou,ou
moins,moin,moin,4,4,moin,moin
structurées,structuré,structurées,9,11,structuré,structurées
bref,bref,bref,4,4,bref,bref
dont,dont,dont,4,4,dont,dont
la,la,la,2,2,la,la
raison,raison,raison,6,6,raison,raison
d^être,d^être,d^être,6,6,d^être,d^être
n^est,n^est,n^est,5,5,n^est,n^est
a,a,a,1,1,-,-
priori,priori,prior,6,5,priori,prior
pas,pa,pas,2,3,pa,pas
l^analyse,l^analys,l^analyse,8,9,l^analys,l^analyse
Cela,cela,cel,4,3,cela,cel
impose,impos,impos,5,5,impos,impos
de,de,de,2,2,de,de
disposer,dispos,dispos,6,6,dispos,dispos
de,de,de,2,2,de,de
systèmes,systèm,systèm,6,6,systèm,systèm
performants,perform,perform,7,7,perform,perform
de,de,de,2,2,de,de
préparation,préparat,préparation,8,11,préparat,préparation
ou,ou,ou,2,2,ou,ou
de,de,de,2,2,de,de
manipulation,manipul,manip,7,5,manipul,manip
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
Le,le,le,2,2,le,le
Data,data,dat,4,3,data,dat
Mining,mine,min,4,3,mine,min
se,se,se,2,2,se,se
propose,propos,propos,6,6,propos,propos
donc,donc,dont,4,4,donc,dont
de,de,de,2,2,de,de
transformer,transform,transform,9,9,transform,transform
en,en,en,2,2,en,en
connaissance,connaiss,connaiss,8,8,connaiss,connaiss
de,de,de,2,2,de,de
grands,grand,grand,5,5,grand,grand
volumes,volum,volum,5,5,volum,volum
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
qui,qui,qui,3,3,qui,qui
peuvent,peuvent,peuv,7,4,peuvent,peuv
être,être,être,4,4,être,être
stockées,stocké,stocké,6,6,stocké,stocké
de,de,de,2,2,de,de
manière,manièr,manièr,6,6,manièr,manièr
diverse,divers,divers,6,6,divers,divers
dans,dan,dan,3,3,dan,dan
des,de,des,2,3,de,des
bases,base,bas,4,3,base,bas
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
relationnelles,relationnel,relationnel,11,11,relationnel,relationnel
dans,dan,dan,3,3,dan,dan
un,un,un,2,2,un,un
ou,ou,ou,2,2,ou,ou
plusieurs,plusieur,plusy,8,5,plusieur,plusy
!,!,!,1,1,!,!
entrepôt,entrepôt,entrepôt,8,8,entrepôt,entrepôt
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
datawarehouse,datawarehous,datawareh,12,9,datawarehous,datawareh
mais,mai,mai,3,3,mai,mai
qui,qui,qui,3,3,qui,qui
peuvent,peuvent,peuv,7,4,peuvent,peuv
aussi,aussi,auss,5,4,aussi,auss
être,être,être,4,4,être,être
récupérées,récupéré,récupérées,8,10,récupéré,récupérées
de,de,de,2,2,de,de
sources,sourc,sourc,5,5,sourc,sourc
riches,rich,rich,4,4,rich,rich
plus,plu,plu,3,3,plu,plu
ou,ou,ou,2,2,ou,ou
moins,moin,moin,4,4,moin,moin
structurées,structuré,structurées,9,11,structuré,structurées
comme,comm,com,4,3,comm,com
internet,internet,internet,8,8,internet,internet
ou,ou,ou,2,2,ou,ou
encore,encor,ent,5,3,encor,ent
en,en,en,2,2,en,en
temps,temp,temp,4,4,temp,temp
réel,réel,réel,4,4,réel,réel
appel,appel,appel,5,5,appel,appel
à,à,à,1,1,à,à
un,un,un,2,2,un,un
call,call,cal,4,3,call,cal
center,center,cent,6,4,center,cent
retrait,retrait,retrait,7,7,retrait,retrait
d^argent,d^argent,d^argent,8,8,d^argent,d^argent
dans,dan,dan,3,3,dan,dan
un,un,un,2,2,un,un
distributeur,distributeur,distribut,12,9,distributeur,distribut
à,à,à,1,1,à,à
billets,billet,billet,6,6,billet,billet
Lorsque,lorsqu,lorsqu,6,6,lorsqu,lorsqu
la,la,la,2,2,la,la
source,sourc,sourc,5,5,sourc,sourc
n^est,n^est,n^est,5,5,n^est,n^est
pas,pa,pas,2,3,pa,pas
directement,direct,direct,6,6,direct,direct
un,un,un,2,2,un,un
entrepôt,entrepôt,entrepôt,8,8,entrepôt,entrepôt
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
il,il,il,2,2,il,il
s^agira,s^agira,s^agira,7,7,s^agira,s^agira
très,trè,très,3,4,trè,très
souvent,souvent,souv,7,4,souvent,souv
de,de,de,2,2,de,de
construire,construir,construir,9,9,construir,construir
une,une,un,3,2,une,un
base,base,bas,4,3,base,bas
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
ou,ou,ou,2,2,ou,ou
un,un,un,2,2,un,un
entrepôt,entrepôt,entrepôt,8,8,entrepôt,entrepôt
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
dédié,dédié,dédié,5,5,dédié,dédié
à,à,à,1,1,à,à
l^analyse,l^analys,l^analyse,8,9,l^analys,l^analyse
et,et,et,2,2,et,et
aux,aux,aux,3,3,aux,aux
analystes,analyst,analyst,7,7,analyst,analyst
Cela,cela,cel,4,3,cela,cel
suppose,suppos,suppos,6,6,suppos,suppos
bien,bien,bien,4,4,bien,bien
entendu,entendu,entendu,7,7,entendu,entendu
d^avoir,d^avoir,d^avoir,7,7,d^avoir,d^avoir
à,à,à,1,1,à,à
sa,sa,sa,2,2,sa,sa
disposition,disposit,disposit,8,8,disposit,disposit
une,une,un,3,2,une,un
palette,palett,palet,6,5,palett,palet
d^outils,d^outil,d^outils,7,8,d^outil,d^outils
de,de,de,2,2,de,de
gestion,gestion,gest,7,4,gestion,gest
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
data,data,dat,4,3,data,dat
management,manag,man,5,3,manag,man
On,on,on,2,2,-,-
peut,peut,peut,4,4,peut,peut
également,également,égal,9,4,également,égal
structurer,structur,structurer,8,10,structur,structurer
les,le,les,2,3,le,les
données,donné,donné,5,5,donné,donné
de,de,de,2,2,de,de
l^entrepôt,l^entrepôt,l^entrepôt,10,10,l^entrepôt,l^entrepôt
sous,sou,sou,3,3,sou,sou
forme,form,form,4,4,form,form
d^un,d^un,d^un,4,4,d^un,d^un
hypercube,hypercub,hypercub,8,8,hypercub,hypercub
OLAP,olap,olap,4,4,olap,olap
même,même,même,4,4,même,même
si,si,si,2,2,si,si
cela,cela,cel,4,3,cela,cel
est,est,est,3,3,est,est
assez,assez,assez,5,5,assez,assez
rare,rare,rar,4,3,rare,rar
en,en,en,2,2,en,en
matière,matièr,matièr,6,6,matièr,matièr
de,de,de,2,2,de,de
Data,data,dat,4,3,data,dat
Mining,mine,min,4,3,mine,min
Exemples,exempl,exempl,6,6,exempl,exempl
d^applications,d^applic,d^applications,8,14,d^applic,d^applications
[modifier],[modifier],[modifier],10,10,[modifier],[modifier]
On,on,on,2,2,-,-
peut,peut,peut,4,4,peut,peut
relever,relev,relev,5,5,relev,relev
parmi,parmi,parm,5,4,parmi,parm
les,le,les,2,3,le,les
utilisations,utilis,util,6,4,utilis,util
du,du,du,2,2,du,du
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
les,le,les,2,3,le,les
exemples,exempl,exempl,6,6,exempl,exempl
suivants,suivant,suiv,7,4,suivant,suiv
:,:,:,1,1,:,:
analyser,analys,analys,6,6,analys,analys
les,le,les,2,3,le,les
comportements,comport,comport,7,7,comport,comport
des,de,des,2,3,de,des
consommateurs,consommateur,consom,12,6,consommateur,consom
:,:,:,1,1,:,:
ventes,vent,vent,4,4,vent,vent
croisées,croisé,croisé,6,6,croisé,croisé
voir,voir,voir,4,4,voir,voir
l^anecdote,l^anecdot,l^anecdote,9,10,l^anecdot,l^anecdote
de,de,de,2,2,de,de
Wal-Mart,wal-mart,wal-mart,8,8,wal-mart,wal-mart
ci-après,ci-aprè,ci-après,7,8,ci-aprè,ci-après
similarités,similarité,similarité,10,10,similarité,similarité
de,de,de,2,2,de,de
comportements,comport,comport,7,7,comport,comport
cartes,cart,cart,4,4,cart,cart
de,de,de,2,2,de,de
fidélité,fidélité,fidélité,8,8,fidélité,fidélité
,,,0,0,,
prédire,prédire,prédire,7,7,prédire,prédire
la,la,la,2,2,la,la
réponse,répons,réponse,6,7,répons,réponse
à,à,à,1,1,à,à
un,un,un,2,2,un,un
mailing,mail,mail,4,4,mail,mail
ou,ou,ou,2,2,ou,ou
à,à,à,1,1,à,à
une,une,un,3,2,une,un
opération,opérat,opér,6,4,opérat,opér
de,de,de,2,2,de,de
marketing,market,market,6,6,market,market
direct,direct,direct,6,6,direct,direct
par,par,par,3,3,par,par
exemple,exempl,exempl,6,6,exempl,exempl
pour,pour,pour,4,4,pour,pour
en,en,en,2,2,en,en
optimiser,optimis,optim,7,5,optimis,optim
les,le,les,2,3,le,les
coûts,coût,coût,4,4,coût,coût
,,,0,0,,
prédire,prédire,prédire,7,7,prédire,prédire
l^attrition,l^attrit,l^attrition,8,11,l^attrit,l^attrition
ou,ou,ou,2,2,ou,ou
churn,churn,churn,5,5,churn,churn
des,de,des,2,3,de,des
clients,client,cli,6,3,client,cli
:,:,:,1,1,:,:
quels,quel,quel,4,4,quel,quel
sont,sont,sont,4,4,sont,sont
les,le,les,2,3,le,les
indices,indic,ind,5,3,indic,ind
de,de,de,2,2,de,de
comportement,comport,comport,7,7,comport,comport
permettant,permett,permet,7,6,permett,permet
de,de,de,2,2,de,de
détecter,détecter,détecter,8,8,détecter,détecter
la,la,la,2,2,la,la
probabilité,probabilité,probabilité,11,11,probabilité,probabilité
qu^un,qu^un,qu^un,5,5,qu^un,qu^un
client,client,cli,6,3,client,cli
a,a,a,1,1,-,-
de,de,de,2,2,de,de
quitter,quitter,quit,7,4,quitter,quit
son,son,son,3,3,son,son
fournisseur,fournisseur,fourniss,11,8,fournisseur,fourniss
sa,sa,sa,2,2,sa,sa
banque,banqu,banqu,5,5,banqu,banqu
son,son,son,3,3,son,son
opérateur,opérateur,opér,9,4,opérateur,opér
de,de,de,2,2,de,de
téléphonie,téléphoni,téléphonie,9,10,téléphoni,téléphonie
mobile,mobil,mobl,5,4,mobil,mobl
,,,0,0,,
détecter,détecter,détecter,8,8,détecter,détecter
des,de,des,2,3,de,des
comportements,comport,comport,7,7,comport,comport
anormaux,anormaux,anormaux,8,8,anormaux,anormaux
ou,ou,ou,2,2,ou,ou
frauduleux,frauduleux,frauduleux,10,10,frauduleux,frauduleux
transactions,transact,transact,8,8,transact,transact
financières,financièr,financièr,9,9,financièr,financièr
escroquerie,escroqueri,escroquery,10,10,escroqueri,escroquery
aux,aux,aux,3,3,aux,aux
assurances,assur,ass,5,3,assur,ass
distribution,distribut,distribut,9,9,distribut,distribut
d^énergie,d^énergi,d^énergie,8,9,d^énergi,d^énergie
,,,0,0,,
rechercher,recherch,recherch,8,8,recherch,recherch
des,de,des,2,3,de,des
critères,critèr,critèr,6,6,critèr,critèr
qui,qui,qui,3,3,qui,qui
permettront,permettront,permettront,11,11,permettront,permettront
d^établir,d^établir,d^établir,9,9,d^établir,d^établir
ensuite,ensuit,ensuit,6,6,ensuit,ensuit
un,un,un,2,2,un,un
scoring,score,scor,5,4,score,scor
pour,pour,pour,4,4,pour,pour
repérer,repérer,repér,7,5,repérer,repér
les,le,les,2,3,le,les
«,«,«,1,1,«,«
bons,bon,bon,3,3,bon,bon
»,»,»,1,1,»,»
clients,client,cli,6,3,client,cli
sans,san,san,3,3,san,san
facteur,facteur,fact,7,4,facteur,fact
de,de,de,2,2,de,de
risque,risqu,risqu,5,5,risqu,risqu
et,et,et,2,2,et,et
leur,leur,leur,4,4,leur,leur
proposer,propos,propos,6,6,propos,propos
peut-être,peut-êtr,peut-être,8,9,peut-êtr,peut-être
une,une,un,3,2,une,un
tarification,tarif,tar,5,3,tarif,tar
adaptée,adapté,adapté,6,6,adapté,adapté
par,par,par,3,3,par,par
exemple,exempl,exempl,6,6,exempl,exempl
pour,pour,pour,4,4,pour,pour
une,une,un,3,2,une,un
banque,banqu,banqu,5,5,banqu,banqu
ou,ou,ou,2,2,ou,ou
une,une,un,3,2,une,un
compagnie,compagni,compagny,8,8,compagni,compagny
d^assurance,d^assur,d^assurance,7,11,d^assur,d^assurance
suggérer,suggérer,suggér,8,6,suggérer,suggér
lors,lor,lor,3,3,lor,lor
d^un,d^un,d^un,4,4,d^un,d^un
appel,appel,appel,5,5,appel,appel
à,à,à,1,1,à,à
un,un,un,2,2,un,un
call,call,cal,4,3,call,cal
center,center,cent,6,4,center,cent
en,en,en,2,2,en,en
temps,temp,temp,4,4,temp,temp
réel,réel,réel,4,4,réel,réel
une,une,un,3,2,une,un
réponse,répons,réponse,6,7,répons,réponse
de,de,de,2,2,de,de
l^opérateur,l^opérateur,l^opérateur,11,11,l^opérateur,l^opérateur
qui,qui,qui,3,3,qui,qui
soit,soit,soit,4,4,soit,soit
adaptée,adapté,adapté,6,6,adapté,adapté
Les,le,les,2,3,le,les
outils,outil,outil,5,5,outil,outil
de,de,de,2,2,de,de
text,text,text,4,4,text,text
mining,mine,min,4,3,mine,min
fouille,fouill,fouil,6,5,fouill,fouil
de,de,de,2,2,de,de
textes,text,text,4,4,text,text
associent,associ,assocy,6,6,associ,assocy
en,en,en,2,2,en,en
complément,complément,complé,10,6,complément,complé
aux,aux,aux,3,3,aux,aux
principes,princip,princip,7,7,princip,princip
du,du,du,2,2,du,du
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
l^analyse,l^analys,l^analyse,8,9,l^analys,l^analyse
lexicographique,lexicographiqu,lexicograph,14,11,lexicographiqu,lexicograph
etou,etou,etou,4,4,etou,etou
linguistique,linguistiqu,linguist,11,8,linguistiqu,linguist
multilingue,multilingu,multilingu,10,10,multilingu,multilingu
des,de,des,2,3,de,des
données,donné,donné,5,5,donné,donné
non,non,non,3,3,non,non
structurées,structuré,structurées,9,11,structuré,structurées
comme,comm,com,4,3,comm,com
les,le,les,2,3,le,les
e-mails,e-mail,e-mails,6,7,e-mail,e-mails
les,le,les,2,3,le,les
réponses,répons,réponses,6,8,répons,réponses
à,à,à,1,1,à,à
des,de,des,2,3,de,des
questionnaires,questionnair,questionnair,12,12,questionnair,questionnair
ou,ou,ou,2,2,ou,ou
à,à,à,1,1,à,à
des,de,des,2,3,de,des
enquêtes,enquêt,enquêt,6,6,enquêt,enquêt
les,le,les,2,3,le,les
réclamations,réclamat,réclamations,8,12,réclamat,réclamations
clients,client,cli,6,3,client,cli
les,le,les,2,3,le,les
blogs,blog,blog,4,4,blog,blog
Internet,internet,internet,8,8,internet,internet
les,le,les,2,3,le,les
news,news,new,4,3,news,new
en,en,en,2,2,en,en
ligne,lign,lign,4,4,lign,lign
les,le,les,2,3,le,les
tchats,tchat,tchats,5,6,tchat,tchats
en,en,en,2,2,en,en
tentant,tentant,tent,7,4,tentant,tent
de,de,de,2,2,de,de
déterminer,détermin,déterminer,8,10,détermin,déterminer
par,par,par,3,3,par,par
exemple,exempl,exempl,6,6,exempl,exempl
le,le,le,2,2,le,le
degré,degré,degré,5,5,degré,degré
de,de,de,2,2,de,de
satisfaction,satisfact,satisfact,9,9,satisfact,satisfact
ou,ou,ou,2,2,ou,ou
d^insatisfaction,d^insatisfact,d^insatisfaction,13,16,d^insatisfact,d^insatisfaction
de,de,de,2,2,de,de
la,la,la,2,2,la,la
